
T [s]		Sa [g]

0.000000	0.150000
0.040000	0.330000
0.040800	0.333600
0.041700	0.337650
0.042600	0.341700
0.043500	0.345750
0.044400	0.349800
0.045500	0.354750
0.046500	0.359250
0.047600	0.364200
0.048800	0.369600
0.050000	0.375000
0.051300	0.375000
0.052600	0.375000
0.054100	0.375000
0.055600	0.375000
0.057100	0.375000
0.058800	0.375000
0.060600	0.375000
0.062500	0.375000
0.064500	0.375000
0.066700	0.375000
0.067800	0.375000
0.069000	0.375000
0.070200	0.375000
0.071400	0.375000
0.072700	0.375000
0.074100	0.375000
0.075500	0.375000
0.076900	0.375000
0.078400	0.375000
0.080000	0.375000
0.081600	0.375000
0.083300	0.375000
0.085100	0.375000
0.087000	0.375000
0.088900	0.375000
0.090900	0.375000
0.093000	0.375000
0.095200	0.375000
0.097600	0.375000
0.100000	0.375000
0.102000	0.375000
0.104000	0.375000
0.106000	0.375000
0.109000	0.375000
0.111000	0.375000
0.114000	0.375000
0.116000	0.375000
0.119000	0.375000
0.122000	0.375000
0.125000	0.375000
0.128000	0.375000
0.132000	0.375000
0.135000	0.375000
0.139000	0.375000
0.143000	0.375000
0.147000	0.375000
0.152000	0.375000
0.156000	0.375000
0.161000	0.375000
0.167000	0.375000
0.172000	0.375000
0.179000	0.375000
0.185000	0.375000
0.192000	0.375000
0.200000	0.375000
0.204000	0.375000
0.208000	0.375000
0.213000	0.375000
0.217000	0.375000
0.222000	0.375000
0.227000	0.375000
0.233000	0.375000
0.238000	0.375000
0.244000	0.375000
0.250000	0.375000
0.256000	0.366211
0.263000	0.356464
0.270000	0.347222
0.278000	0.337230
0.286000	0.327797
0.294000	0.318878
0.303000	0.309406
0.312000	0.300481
0.323000	0.290248
0.333000	0.281532
0.345000	0.271739
0.357000	0.262605
0.370000	0.253378
0.385000	0.243506
0.400000	0.234375
0.417000	0.224820
0.435000	0.215517
0.455000	0.206044
0.476000	0.196954
0.500000	0.187500
0.526000	0.178232
0.556000	0.168615
0.588000	0.159439
0.625000	0.150000
0.667000	0.140555
0.714000	0.131303
0.769000	0.121912
0.833000	0.112545
0.909000	0.103135
1.000000	0.093750
1.050000	0.089286
1.110000	0.084459
1.180000	0.079449
1.250000	0.072000
1.330000	0.063599
1.430000	0.055015
1.540000	0.047436
1.670000	0.040338
1.820000	0.033963
2.000000	0.028125
2.220000	0.022827
2.500000	0.018000
2.860000	0.013754
3.330000	0.010145
4.000000	0.007031
